name,growth,growth_num,aoc,bank,commune,lat,lon,geocoder_match
Château Lafite Rothschild,Premier Cru,1,Pauillac,Left,Pauillac,45.224819,-0.773214,"Château Lafite Rothschild, Pauillac, Gironde, France"
Château Latour,Premier Cru,1,Pauillac,Left,Pauillac,45.175856,-0.744557,"Château Latour, Pauillac, Gironde, France"
Château Margaux,Premier Cru,1,Margaux,Left,Margaux,45.044436,-0.668808,"Château Margaux, Margaux, Gironde, France"
Château Haut-Brion,Premier Cru,1,Pessac-Léognan,Left,Pessac,44.814545,-0.612432,"Château Haut-Brion, Pessac, Gironde, France"
Château Mouton Rothschild,Premier Cru,1,Pauillac,Left,Pauillac,45.215278,-0.768457,"Château Mouton Rothschild, Pauillac, Gironde, France"
Château Rauzan-Ségla,Deuxième Cru,2,Margaux,Left,Margaux,45.035948,-0.675506,"Château Rauzan-Ségla, Margaux, Gironde, France"
Château Rauzan-Gassies,Deuxième Cru,2,Margaux,Left,Margaux,45.036818,-0.675104,"Château Rauzan-Gassies, Margaux, Gironde, France"
Château Léoville-Las Cases,Deuxième Cru,2,Saint-Julien,Left,Saint-Julien-Beychevelle,45.1717,-0.7488,manual: same-AOC neighbor
Château Léoville-Poyferré,Deuxième Cru,2,Saint-Julien,Left,Saint-Julien-Beychevelle,45.166,-0.748,manual: same-AOC neighbor
Château Léoville-Barton,Deuxième Cru,2,Saint-Julien,Left,Saint-Julien-Beychevelle,45.1565,-0.745,manual: same-AOC neighbor
Château Durfort-Vivens,Deuxième Cru,2,Margaux,Left,Margaux,45.040046,-0.674505,"Château Durfort-Vivens, Margaux, Gironde, France"
Château Gruaud-Larose,Deuxième Cru,2,Saint-Julien,Left,Saint-Julien-Beychevelle,45.144531,-0.750964,"Château Gruaud-Larose, Saint-Julien-Beychevelle, Gironde, France"
Château Lascombes,Deuxième Cru,2,Margaux,Left,Margaux,45.041412,-0.683781,"Château Lascombes, Margaux, Gironde, France"
Château Brane-Cantenac,Deuxième Cru,2,Margaux,Left,Cantenac,45.023934,-0.673679,"Château Brane-Cantenac, Cantenac, Gironde, France"
Château Pichon Longueville Baron,Deuxième Cru,2,Pauillac,Left,Pauillac,45.1985,-0.7492,manual: same-AOC neighbor
Château Pichon Longueville Comtesse de Lalande,Deuxième Cru,2,Pauillac,Left,Pauillac,45.175785,-0.749545,"Château Pichon Longueville Comtesse de Lalande, Pauillac, Gironde, France"
Château Ducru-Beaucaillou,Deuxième Cru,2,Saint-Julien,Left,Saint-Julien-Beychevelle,45.149083,-0.731023,"Château Ducru-Beaucaillou, Saint-Julien-Beychevelle, Gironde, France"
Château Cos d'Estournel,Deuxième Cru,2,Saint-Estèphe,Left,Saint-Estèphe,45.230775,-0.775764,"Château Cos d'Estournel, Saint-Estèphe, Gironde, France"
Château Montrose,Deuxième Cru,2,Saint-Estèphe,Left,Saint-Estèphe,45.246888,-0.762263,"Château Montrose, Saint-Estèphe, Gironde, France"
Château Kirwan,Troisième Cru,3,Margaux,Left,Cantenac,45.027117,-0.658418,"Château Kirwan, Cantenac, Gironde, France"
Château d'Issan,Troisième Cru,3,Margaux,Left,Cantenac,45.037849,-0.658199,"Château d'Issan, Cantenac, Gironde, France"
Château Lagrange,Troisième Cru,3,Saint-Julien,Left,Saint-Julien-Beychevelle,45.149425,-0.773258,"Château Lagrange, Saint-Julien-Beychevelle, Gironde, France"
Château Langoa-Barton,Troisième Cru,3,Saint-Julien,Left,Saint-Julien-Beychevelle,45.157334,-0.740015,"Château Langoa-Barton, Saint-Julien-Beychevelle, Gironde, France"
Château Giscours,Troisième Cru,3,Margaux,Left,Labarde,45.008894,-0.646434,"Château Giscours, Labarde, Gironde, France"
Château Malescot St. Exupéry,Troisième Cru,3,Margaux,Left,Margaux,45.040639,-0.675711,"Château Malescot St. Exupéry, Margaux, Gironde, France"
Château Boyd-Cantenac,Troisième Cru,3,Margaux,Left,Cantenac,45.022756,-0.655811,"Château Boyd-Cantenac, Cantenac, Gironde, France"
Château Cantenac-Brown,Troisième Cru,3,Margaux,Left,Cantenac,45.027178,-0.67881,"Château Cantenac-Brown, Cantenac, Gironde, France"
Château Palmer,Troisième Cru,3,Margaux,Left,Cantenac,45.036693,-0.669282,"Château Palmer, Cantenac, Gironde, France"
Château La Lagune,Troisième Cru,3,Haut-Médoc,Left,Ludon-Médoc,44.978921,-0.617486,"Château La Lagune, Ludon-Médoc, Gironde, France"
Château Desmirail,Troisième Cru,3,Margaux,Left,Margaux,45.028202,-0.653791,"Château Desmirail, Margaux, Gironde, France"
Château Calon-Ségur,Troisième Cru,3,Saint-Estèphe,Left,Saint-Estèphe,45.26671,-0.778577,"Château Calon-Ségur, Saint-Estèphe, Gironde, France"
Château Ferrière,Troisième Cru,3,Margaux,Left,Margaux,45.043566,-0.676423,"Château Ferrière, Margaux, Gironde, France"
Château Marquis d'Alesme Becker,Troisième Cru,3,Margaux,Left,Margaux,45.04,-0.6722,manual: same-AOC neighbor
Château Saint-Pierre,Quatrième Cru,4,Saint-Julien,Left,Saint-Julien-Beychevelle,45.147189,-0.742709,"Château Saint-Pierre, Saint-Julien-Beychevelle, Gironde, France"
Château Talbot,Quatrième Cru,4,Saint-Julien,Left,Saint-Julien-Beychevelle,45.159701,-0.756945,"Château Talbot, Saint-Julien-Beychevelle, Gironde, France"
Château Branaire-Ducru,Quatrième Cru,4,Saint-Julien,Left,Saint-Julien-Beychevelle,45.144407,-0.739051,"Château Branaire-Ducru, Saint-Julien-Beychevelle, Gironde, France"
Château Duhart-Milon,Quatrième Cru,4,Pauillac,Left,Pauillac,45.21584,-0.787531,"Château Duhart-Milon, Pauillac, Gironde, France"
Château Pouget,Quatrième Cru,4,Margaux,Left,Cantenac,45.023116,-0.656928,"Château Pouget, Cantenac, Gironde, France"
Château La Tour Carnet,Quatrième Cru,4,Haut-Médoc,Left,Saint-Laurent-Médoc,45.14701,-0.793833,"Château La Tour Carnet, Saint-Laurent-Médoc, Gironde, France"
Château Lafon-Rochet,Quatrième Cru,4,Saint-Estèphe,Left,Saint-Estèphe,45.229405,-0.787792,"Château Lafon-Rochet, Saint-Estèphe, Gironde, France"
Château Beychevelle,Quatrième Cru,4,Saint-Julien,Left,Saint-Julien-Beychevelle,45.144955,-0.734961,"Château Beychevelle, Saint-Julien-Beychevelle, Gironde, France"
Château Prieuré-Lichine,Quatrième Cru,4,Margaux,Left,Cantenac,45.028968,-0.656529,"Château Prieuré-Lichine, Cantenac, Gironde, France"
Château Marquis de Terme,Quatrième Cru,4,Margaux,Left,Margaux,45.038122,-0.677908,"Château Marquis de Terme, Margaux, Gironde, France"
Château Pontet-Canet,Cinquième Cru,5,Pauillac,Left,Pauillac,45.208716,-0.770813,"Château Pontet-Canet, Pauillac, Gironde, France"
Château Batailley,Cinquième Cru,5,Pauillac,Left,Pauillac,45.176798,-0.772904,"Château Batailley, Pauillac, Gironde, France"
Château Haut-Batailley,Cinquième Cru,5,Pauillac,Left,Pauillac,45.173338,-0.770878,"Château Haut-Batailley, Pauillac, Gironde, France"
Château Grand-Puy-Lacoste,Cinquième Cru,5,Pauillac,Left,Pauillac,45.190037,-0.7691,"Château Grand-Puy-Lacoste, Pauillac, Gironde, France"
Château Grand-Puy-Ducasse,Cinquième Cru,5,Pauillac,Left,Pauillac,45.199949,-0.746636,"Château Grand-Puy-Ducasse, Pauillac, Gironde, France"
Château Lynch-Bages,Cinquième Cru,5,Pauillac,Left,Pauillac,45.191382,-0.754544,"Château Lynch-Bages, Pauillac, Gironde, France"
Château Lynch-Moussas,Cinquième Cru,5,Pauillac,Left,Pauillac,45.183572,-0.792225,"Château Lynch-Moussas, Pauillac, Gironde, France"
Château Dauzac,Cinquième Cru,5,Margaux,Left,Labarde,45.019373,-0.623337,"Château Dauzac, Labarde, Gironde, France"
Château d'Armailhac,Cinquième Cru,5,Pauillac,Left,Pauillac,45.211079,-0.769917,"Château d'Armailhac, Pauillac, Gironde, France"
Château du Tertre,Cinquième Cru,5,Margaux,Left,Arsac,45.005972,-0.680906,"Château du Tertre, Arsac, Gironde, France"
Château Haut-Bages-Libéral,Cinquième Cru,5,Pauillac,Left,Pauillac,45.182385,-0.749155,"Château Haut-Bages-Libéral, Pauillac, Gironde, France"
Château Pédesclaux,Cinquième Cru,5,Pauillac,Left,Pauillac,45.21201,-0.756679,"Château Pédesclaux, Pauillac, Gironde, France"
Château Belgrave,Cinquième Cru,5,Haut-Médoc,Left,Saint-Laurent-Médoc,45.151191,-0.779672,"Château Belgrave, Saint-Laurent-Médoc, Gironde, France"
Château de Camensac,Cinquième Cru,5,Haut-Médoc,Left,Saint-Laurent-Médoc,45.122,-0.7707,manual: same-AOC neighbor
Château Cos Labory,Cinquième Cru,5,Saint-Estèphe,Left,Saint-Estèphe,45.230943,-0.776837,"Château Cos Labory, Saint-Estèphe, Gironde, France"
Château Clerc-Milon,Cinquième Cru,5,Pauillac,Left,Pauillac,45.221668,-0.765365,"Château Clerc-Milon, Pauillac, Gironde, France"
Château Croizet Bages,Cinquième Cru,5,Pauillac,Left,Pauillac,45.190774,-0.756591,"Château Croizet Bages, Pauillac, Gironde, France"
Château Cantemerle,Cinquième Cru,5,Haut-Médoc,Left,Macau,44.994238,-0.625929,"Château Cantemerle, Macau, Gironde, France"
