chateau,lat,lon,z_center,z_NW,z_N,z_NE,z_W,z_E,z_SW,z_S,z_SE,z_neighbors_mean,TPI_m,local_relief_m
Château Lafite Rothschild,45.224819,-0.773214,14.0,1.0,2.0,2.0,2.0,5.0,23.0,21.0,10.0,8.25,5.75,22.0
Château Latour,45.175856,-0.744557,13.0,7.0,12.0,4.0,16.0,3.0,11.0,7.0,6.0,8.25,4.75,13.0
Château Margaux,45.044436,-0.668808,7.0,6.0,3.0,3.0,9.0,3.0,9.0,14.0,4.0,6.375,0.625,11.0
Château Haut-Brion,44.814545,-0.612432,26.0,16.0,28.0,30.0,26.0,30.0,25.0,25.0,25.0,25.625,0.375,14.0
Château Mouton Rothschild,45.215278,-0.768457,24.0,25.0,25.0,19.0,24.0,18.0,20.0,21.0,14.0,20.75,3.25,11.0
Château Rauzan-Ségla,45.035948,-0.675506,16.0,17.0,14.0,16.0,16.0,17.0,16.0,15.0,17.0,16.0,0.0,3.0
Château Rauzan-Gassies,45.036818,-0.675104,15.0,17.0,15.0,16.0,15.0,17.0,16.0,15.0,18.0,16.125,-1.125,3.0
Château Léoville-Las Cases,45.1717,-0.7488,8.0,17.0,15.0,10.0,16.0,12.0,16.0,15.0,15.0,14.5,-6.5,9.0
Château Léoville-Poyferré,45.166,-0.748,15.0,15.0,14.0,14.0,17.0,14.0,17.0,16.0,16.0,15.375,-0.375,3.0
Château Léoville-Barton,45.1565,-0.745,13.0,16.0,17.0,16.0,16.0,13.0,14.0,12.0,18.0,15.25,-2.25,6.0
Château Durfort-Vivens,45.040046,-0.674505,15.0,18.0,8.0,12.0,16.0,16.0,16.0,15.0,18.0,14.875,0.125,10.0
Château Gruaud-Larose,45.144531,-0.750964,21.0,20.0,18.0,15.0,18.0,11.0,4.0,5.0,4.0,11.875,9.125,17.0
Château Lascombes,45.041412,-0.683781,22.0,19.0,18.0,16.0,22.0,15.0,16.0,17.0,17.0,17.5,4.5,7.0
Château Brane-Cantenac,45.023934,-0.673679,15.0,14.0,16.0,18.0,13.0,18.0,15.0,16.0,12.0,15.25,-0.25,6.0
Château Pichon Longueville Baron,45.1985,-0.7492,14.0,13.0,7.0,3.0,11.0,7.0,20.0,13.0,5.0,9.875,4.125,17.0
Château Pichon Longueville Comtesse de Lalande,45.175785,-0.749545,20.0,14.0,7.0,12.0,18.0,12.0,19.0,13.0,6.0,12.625,7.375,14.0
Château Ducru-Beaucaillou,45.149083,-0.731023,4.0,14.0,4.0,3.0,14.0,3.0,14.0,3.0,3.0,7.25,-3.25,11.0
Château Cos d'Estournel,45.230775,-0.775764,21.0,18.0,15.0,9.0,20.0,5.0,10.0,1.0,3.0,10.125,10.875,20.0
Château Montrose,45.246888,-0.762263,17.0,8.0,9.0,13.0,12.0,13.0,15.0,13.0,13.0,12.0,5.0,9.0
Château Kirwan,45.027117,-0.658418,12.0,17.0,15.0,6.0,14.0,8.0,15.0,11.0,8.0,11.75,0.25,11.0
Château d'Issan,45.037849,-0.658199,4.0,4.0,3.0,4.0,10.0,3.0,14.0,6.0,3.0,5.875,-1.875,11.0
Château Lagrange,45.149425,-0.773258,17.0,17.0,18.0,18.0,19.0,18.0,12.0,15.0,11.0,16.0,1.0,8.0
Château Langoa-Barton,45.157334,-0.740015,15.0,17.0,16.0,10.0,13.0,6.0,12.0,19.0,9.0,12.75,2.25,13.0
Château Giscours,45.008894,-0.646434,9.0,9.0,3.0,8.0,10.0,12.0,10.0,9.0,14.0,9.375,-0.375,11.0
Château Malescot St. Exupéry,45.040639,-0.675711,15.0,16.0,11.0,7.0,15.0,16.0,15.0,15.0,16.0,13.875,1.125,9.0
Château Boyd-Cantenac,45.022756,-0.655811,7.0,12.0,7.0,4.0,9.0,4.0,3.0,4.0,3.0,5.75,1.25,9.0
Château Cantenac-Brown,45.027178,-0.67881,18.0,15.0,16.0,15.0,21.0,15.0,15.0,14.0,14.0,15.625,2.375,7.0
Château Palmer,45.036693,-0.669282,19.0,16.0,15.0,10.0,16.0,16.0,16.0,18.0,18.0,15.625,3.375,9.0
Château La Lagune,44.978921,-0.617486,12.0,10.0,13.0,11.0,12.0,11.0,9.0,9.0,10.0,10.625,1.375,4.0
Château Desmirail,45.028202,-0.653791,8.0,9.0,4.0,4.0,13.0,4.0,10.0,6.0,4.0,6.75,1.25,9.0
Château Calon-Ségur,45.26671,-0.778577,3.0,17.0,5.0,2.0,2.0,6.0,5.0,10.0,12.0,7.375,-4.375,15.0
Château Ferrière,45.043566,-0.676423,12.0,16.0,13.0,7.0,16.0,7.0,15.0,15.0,13.0,12.75,-0.75,9.0
Château Marquis d'Alesme Becker,45.04,-0.6722,16.0,16.0,12.0,10.0,16.0,12.0,14.0,16.0,19.0,14.375,1.625,9.0
Château Saint-Pierre,45.147189,-0.742709,16.0,15.0,17.0,16.0,13.0,16.0,11.0,4.0,16.0,13.5,2.5,13.0
Château Talbot,45.159701,-0.756945,23.0,23.0,22.0,18.0,22.0,18.0,19.0,17.0,17.0,19.5,3.5,6.0
Château Branaire-Ducru,45.144407,-0.739051,16.0,16.0,16.0,15.0,4.0,11.0,2.0,5.0,2.0,8.875,7.125,14.0
Château Duhart-Milon,45.21584,-0.787531,21.0,10.0,18.0,14.0,14.0,19.0,26.0,24.0,23.0,18.5,2.5,16.0
Château Pouget,45.023116,-0.656928,7.0,13.0,9.0,5.0,10.0,4.0,4.0,4.0,3.0,6.5,0.5,10.0
Château La Tour Carnet,45.14701,-0.793833,9.0,7.0,11.0,17.0,4.0,8.0,5.0,5.0,4.0,7.625,1.375,13.0
Château Lafon-Rochet,45.229405,-0.787792,24.0,24.0,24.0,21.0,23.0,22.0,17.0,18.0,17.0,20.75,3.25,7.0
Château Beychevelle,45.144955,-0.734961,13.0,16.0,14.0,3.0,16.0,5.0,5.0,1.0,8.0,8.5,4.5,15.0
Château Prieuré-Lichine,45.028968,-0.656529,11.0,11.0,5.0,3.0,16.0,5.0,11.0,7.0,6.0,8.0,3.0,13.0
Château Marquis de Terme,45.038122,-0.677908,18.0,18.0,16.0,15.0,16.0,16.0,16.0,15.0,17.0,16.125,1.875,3.0
Château Pontet-Canet,45.208716,-0.770813,24.0,25.0,21.0,17.0,25.0,18.0,23.0,18.0,15.0,20.25,3.75,10.0
Château Batailley,45.176798,-0.772904,30.0,27.0,24.0,21.0,27.0,22.0,26.0,25.0,22.0,24.25,5.75,9.0
Château Haut-Batailley,45.173338,-0.770878,23.0,27.0,29.0,22.0,26.0,22.0,25.0,23.0,23.0,24.625,-1.625,7.0
Château Grand-Puy-Lacoste,45.190037,-0.7691,19.0,16.0,5.0,19.0,11.0,20.0,19.0,17.0,22.0,16.125,2.875,17.0
Château Grand-Puy-Ducasse,45.199949,-0.746636,9.0,5.0,4.0,0.0,12.0,0.0,16.0,7.0,0.0,5.5,3.5,16.0
Château Lynch-Bages,45.191382,-0.754544,22.0,19.0,18.0,14.0,19.0,13.0,20.0,19.0,11.0,16.625,5.375,11.0
Château Lynch-Moussas,45.183572,-0.792225,29.0,26.0,21.0,21.0,27.0,26.0,31.0,23.0,21.0,24.5,4.5,10.0
Château Dauzac,45.019373,-0.623337,4.0,2.0,2.0,2.0,5.0,2.0,5.0,4.0,3.0,3.125,0.875,3.0
Château d'Armailhac,45.211079,-0.769917,23.0,21.0,21.0,17.0,25.0,15.0,25.0,23.0,16.0,20.375,2.625,10.0
Château du Tertre,45.005972,-0.680906,24.0,19.0,18.0,19.0,21.0,21.0,20.0,20.0,18.0,19.5,4.5,6.0
Château Haut-Bages-Libéral,45.182385,-0.749155,7.0,11.0,4.0,4.0,10.0,9.0,12.0,5.0,12.0,8.375,-1.375,8.0
Château Pédesclaux,45.21201,-0.756679,12.0,16.0,12.0,5.0,14.0,4.0,16.0,10.0,6.0,10.375,1.625,12.0
Château Belgrave,45.151191,-0.779672,22.0,21.0,20.0,20.0,20.0,15.0,18.0,17.0,15.0,18.25,3.75,7.0
Château de Camensac,45.122,-0.7707,9.0,5.0,6.0,5.0,5.0,11.0,9.0,18.0,20.0,9.875,-0.875,15.0
Château Cos Labory,45.230943,-0.776837,22.0,19.0,14.0,8.0,20.0,10.0,14.0,1.0,2.0,11.0,11.0,21.0
Château Clerc-Milon,45.221668,-0.765365,16.0,5.0,18.0,13.0,10.0,16.0,24.0,17.0,18.0,15.125,0.875,19.0
Château Croizet Bages,45.190774,-0.756591,22.0,18.0,18.0,18.0,20.0,20.0,18.0,18.0,15.0,18.125,3.875,7.0
Château Cantemerle,44.994238,-0.625929,11.0,11.0,11.0,10.0,11.0,9.0,14.0,12.0,12.0,11.25,-0.25,5.0
