chateau,aoc,growth_num,lat,lon,elevation_m,dist_gironde_km,dist_atlantic_km,soil_clay_pct,soil_sand_pct,soil_silt_pct
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,14.0,5.044715487376734,42.644092456684675,34.2,33.4,32.4
Château Latour,Pauillac,1,45.175856,-0.744557,13.0,4.959310077317168,48.26565948985207,,,
Château Margaux,Margaux,1,45.044436,-0.668808,7.0,5.513504316585299,63.54916096038486,31.8,38.9,29.3
Château Haut-Brion,Pessac-Léognan,1,44.814545,-0.612432,26.0,24.04168195252,87.77643518034061,,,
Château Mouton Rothschild,Pauillac,1,45.215278,-0.768457,24.0,5.086720528280648,43.69169735054195,,,
Château Rauzan-Ségla,Margaux,2,45.035948,-0.675506,16.0,6.563690978276531,64.03271104219243,23.7,51.0,25.3
Château Rauzan-Gassies,Margaux,2,45.036818,-0.675104,15.0,6.470591702189781,63.96999449829615,23.7,51.0,25.3
Château Léoville-Las Cases,Saint-Julien,2,45.1717,-0.7488,8.0,5.461461677182315,48.42041373527731,28.6,44.1,27.4
Château Léoville-Poyferré,Saint-Julien,2,45.166,-0.748,15.0,5.645332102263729,48.959022209340944,27.2,43.5,29.3
Château Léoville-Barton,Saint-Julien,2,45.1565,-0.745,13.0,5.824691125609848,49.94089000161904,29.0,41.6,29.4
Château Durfort-Vivens,Margaux,2,45.040046,-0.674505,15.0,6.176225908909417,63.698760645356145,,,
Château Gruaud-Larose,Saint-Julien,2,45.144531,-0.750964,21.0,6.794052497106986,50.73142942810779,30.6,41.9,27.5
Château Lascombes,Margaux,2,45.041412,-0.683781,22.0,6.6655117074437245,63.16583132493606,,,
Château Brane-Cantenac,Margaux,2,45.023934,-0.673679,15.0,7.5301719807016365,65.22560788127508,21.8,53.4,24.8
Château Pichon Longueville Baron,Pauillac,2,45.1985,-0.7492,14.0,4.340898188849739,46.09223970670867,,,
Château Pichon Longueville Comtesse de Lalande,Pauillac,2,45.175785,-0.749545,20.0,5.342793162182539,48.02751399685174,,,
Château Ducru-Beaucaillou,Saint-Julien,2,45.149083,-0.731023,4.0,5.077132088196469,51.26303315687046,36.1,30.3,33.6
Château Cos d'Estournel,Saint-Estèphe,2,45.230775,-0.775764,21.0,4.986479504046545,42.01392570695891,23.8,47.9,28.3
Château Montrose,Saint-Estèphe,2,45.246888,-0.762263,17.0,3.2724125547647116,41.4171759071804,29.7,40.1,30.2
Château Kirwan,Margaux,3,45.027117,-0.658418,12.0,6.492454762767516,65.59948956816828,34.3,38.1,27.6
Château d'Issan,Margaux,3,45.037849,-0.658199,4.0,5.567407979514357,64.6270813145949,36.3,33.7,30.0
Château Lagrange,Saint-Julien,3,45.149425,-0.773258,17.0,8.284300521719484,49.27634499249829,24.3,49.4,26.3
Château Langoa-Barton,Saint-Julien,3,45.157334,-0.740015,15.0,5.408584584631041,50.10509266666712,29.4,43.8,26.8
Château Giscours,Margaux,3,45.008894,-0.646434,9.0,7.144532554203867,67.80602288771586,27.2,49.0,23.8
Château Malescot St. Exupéry,Margaux,3,45.040639,-0.675711,15.0,6.19590950658733,63.59096339722429,,,
Château Boyd-Cantenac,Margaux,3,45.022756,-0.655811,7.0,6.664899416511685,66.11579863357153,33.3,35.9,30.8
Château Cantenac-Brown,Margaux,3,45.027178,-0.67881,18.0,7.4780640520345605,64.70261615400818,20.9,55.1,24.0
Château Palmer,Margaux,3,45.036693,-0.669282,19.0,6.183171330974094,64.23807229220972,23.8,52.8,23.4
Château La Lagune,Haut-Médoc,3,44.978921,-0.617486,12.0,7.636539269455824,71.84394676335108,22.9,48.7,28.4
Château Desmirail,Margaux,3,45.028202,-0.653791,8.0,6.117930222351841,65.70612449007021,,,
Château Calon-Ségur,Saint-Estèphe,3,45.26671,-0.778577,3.0,3.676183438704725,38.94870274076166,36.2,27.5,36.3
Château Ferrière,Margaux,3,45.043566,-0.676423,12.0,6.011955704182133,63.290107756963444,,,
Château Marquis d'Alesme Becker,Margaux,3,45.04,-0.6722,16.0,6.055190999305069,63.80486595995735,24.7,51.2,24.0
Château Saint-Pierre,Saint-Julien,4,45.147189,-0.742709,16.0,6.05005070169381,50.87672304459637,27.1,41.9,31.0
Château Talbot,Saint-Julien,4,45.159701,-0.756945,23.0,6.59828947838089,49.09296999198701,23.4,52.1,24.5
Château Branaire-Ducru,Saint-Julien,4,45.144407,-0.739051,16.0,5.890542330812733,51.29649058335765,27.9,40.9,31.2
Château Duhart-Milon,Pauillac,4,45.21584,-0.787531,21.0,6.51860132885566,42.686746895310904,22.9,45.4,31.7
Château Pouget,Margaux,4,45.023116,-0.656928,7.0,6.70735054922309,66.03327317196266,33.3,35.9,30.8
Château La Tour Carnet,Haut-Médoc,4,45.14701,-0.793833,9.0,9.957486923857129,48.601952819346515,26.5,41.1,32.4
Château Lafon-Rochet,Saint-Estèphe,4,45.229405,-0.787792,24.0,5.962503224208103,41.51200062981323,24.3,46.6,29.1
Château Beychevelle,Saint-Julien,4,45.144955,-0.734961,13.0,5.554955898610407,51.440522927653475,32.0,34.9,33.1
Château Prieuré-Lichine,Margaux,4,45.028968,-0.656529,11.0,6.230967224926797,65.51370474790686,33.5,38.8,27.7
Château Marquis de Terme,Margaux,4,45.038122,-0.677908,18.0,6.516456796748137,63.72667091388028,22.8,53.5,23.7
Château Pontet-Canet,Pauillac,5,45.208716,-0.770813,24.0,5.545171303149604,44.131167676579345,,,
Château Batailley,Pauillac,5,45.176798,-0.772904,30.0,7.080731231938567,46.81955656843627,19.0,53.3,27.8
Château Haut-Batailley,Pauillac,5,45.173338,-0.770878,23.0,7.074910368766928,47.22314710755906,18.6,53.8,27.6
Château Grand-Puy-Lacoste,Pauillac,5,45.190037,-0.7691,19.0,6.221833700961648,45.83221808269668,22.1,49.2,28.7
Château Grand-Puy-Ducasse,Pauillac,5,45.199949,-0.746636,9.0,4.083162959902035,46.100599900520336,,,
Château Lynch-Bages,Pauillac,5,45.191382,-0.754544,22.0,5.054088036651568,46.430877412776915,,,
Château Lynch-Moussas,Pauillac,5,45.183572,-0.792225,29.0,8.262934376082313,45.314785291374484,18.2,56.1,25.7
Château Dauzac,Margaux,5,45.019373,-0.623337,4.0,4.884403310130223,67.89071913563978,32.0,35.6,32.4
Château d'Armailhac,Pauillac,5,45.211079,-0.769917,23.0,5.376442680827185,43.97433821127502,23.4,47.3,29.2
Château du Tertre,Margaux,5,45.005972,-0.680906,24.0,9.524146170398378,66.60186367900911,20.1,49.0,31.0
Château Haut-Bages-Libéral,Pauillac,5,45.182385,-0.749155,7.0,5.029543566549933,47.47381157819565,31.4,37.1,31.5
Château Pédesclaux,Pauillac,5,45.21201,-0.756679,12.0,4.326477693207311,44.57051389427581,,,
Château Belgrave,Haut-Médoc,5,45.151191,-0.779672,22.0,8.697600071555314,48.82951460854142,21.3,50.6,28.1
Château de Camensac,Haut-Médoc,5,45.122,-0.7707,9.0,9.268552041240824,51.92403734581408,23.2,46.2,30.6
Château Cos Labory,Saint-Estèphe,5,45.230943,-0.776837,22.0,5.061230624498844,41.944270368298994,23.8,47.9,28.3
Château Clerc-Milon,Pauillac,5,45.221668,-0.765365,16.0,4.579450886137976,43.313303049542206,,,
Château Croizet Bages,Pauillac,5,45.190774,-0.756591,22.0,5.23630006870569,46.38154415803004,24.3,45.2,30.5
Château Cantemerle,Haut-Médoc,5,44.994238,-0.625929,11.0,6.985881026183046,70.06123963479267,26.8,50.8,22.4
